Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
The dispute between Trissotin and Vadius,http://www.wikidata.org/entity/Q29842263,The dispute between Trissotin and Vadius,Louvre storage (depot),,Department of Paintings of the Louvre,,Hippolyte Poterlet,oil paint,,,public domain,,1831,http://commons.wikimedia.org/wiki/Special:FilePath/Hippolyte%20Poterlet%20-%20Dispute%20de%20Trissotin%20et%20de%20Vadius.png
La fontaine,http://www.wikidata.org/entity/Q23982029,The Fountain,Room 903,,Department of Paintings of the Louvre,Victor Lyon,Hubert Robert,oil paint,,,public domain,,1784,
Le Dessinateur d'antiques devant la Petite Galerie du Louvre,http://www.wikidata.org/entity/Q29840246,Le Dessinateur d'antiques devant la Petite Galerie du Louvre,Louvre storage (depot),,Department of Paintings of the Louvre,,Hubert Robert,oil paint,,,public domain,,1781,
"Eug�ne Pujalet (1867-1952), directeur des Mus�es nationaux en 1912-1913",http://www.wikidata.org/entity/Q29856036,"Eug�ne Pujalet (1867-1952), directeur des Mus�es nationaux en 1912-1913",Louvre storage (depot),,Department of Paintings of the Louvre,,Hubert-Denis Etcheverry,oil paint,,,,,1914,
Portrait de la famille Léonard,http://www.wikidata.org/entity/Q18760598,Portrait of the Léonard family,Louvre storage (depot),Baroque painting,Department of Paintings of the Louvre,,Hyacinthe Rigaud,oil paint,,,public domain,,1693,http://commons.wikimedia.org/wiki/Special:FilePath/1692%20-%20la%20famille%20L%C3%A9onard%20%28Louvre%29.jpg
Rivière gelée avec couple patinant,http://www.wikidata.org/entity/Q29655971,Frozen Canal with Skaters,Room 840,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Isaac van Ostade,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Canal%20gel%C3%A9%20avec%20couple%20patinant%20-%20Isaac%20van%20Ostade%20-%20Mus%C3%A9e%20du%20Louvre.jpg
"Paysage d'hiver avec moulin, patineurs et cheval attelé à un traîneau",http://www.wikidata.org/entity/Q29655966,"Paysage d'hiver avec moulin, patineurs et cheval attelé à un traîneau",Room 852,,Department of Paintings of the Louvre,Louis La Caze,Isaac van Ostade,oil paint,,,public domain,,1644,
La halte devant l'auberge,http://www.wikidata.org/entity/Q29655975,Halting at an Inn,Room 852,,Department of Paintings of the Louvre,,Isaac van Ostade,oil paint,,,public domain,,1650,
Les Jeunes piaillent comme chantent les vieux,http://www.wikidata.org/entity/Q19753101,"As the Old Sing, So the Young Pipe",Mus�e des Beaux-Arts de Valenciennes,,Department of Paintings of the Louvre,,Jacob Jordaens,oil paint,,,public domain,,1638,http://commons.wikimedia.org/wiki/Special:FilePath/As%20the%20Old%20Sing%2C%20So%20the%20Young%20Pipe%2C%20by%20Jacob%20Jordaens.jpg
Christ driving the money-changers from the temple,http://www.wikidata.org/entity/Q27064318,Jesus Driving the Merchants from the Temple,Room 800,,Department of Paintings of the Louvre,,Jacob Jordaens,oil paint,,http://www.louvre.fr/en/oeuvre-notices/jesus-driving-merchants-temple,public domain,,1647,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Jordaens%20-%20Jesus%20chasing%20the%20merchants%20from%20the%20temple.jpg
The Feast of Epiphany,http://www.wikidata.org/entity/Q29656614,The King Drinks,Room 848,,Department of Paintings of the Louvre,,Jacob Jordaens,oil paint,,https://www.wga.hu/html/j/jordaens/1/kingdrin.html,public domain,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Jordaens%20-%20The%20Bean%20King%20%28Louvre%29.JPG
Portrait de jeune garçon au chien,http://www.wikidata.org/entity/Q110663545,Portrait of a boy with a dog,Museum Baron Martin,,Department of Paintings of the Louvre,Albert P. de Mirimonde,Jacob van Loo,oil paint,,,,,1658,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Loo%20-%20Portrait%20de%20jeune%20gar%C3%A7on%20au%20chien%2C%201658%2C%200000731800%20OG.jpg
Dune Landscape near Haarlem,http://www.wikidata.org/entity/Q20760413,The Thicket near Haarlem,Room 837,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Jacob van Ruisdael,oil paint,,https://www.wga.hu/html/r/ruysdael/jacob/1/thicket.html,public domain,,1653,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Isaacksz.%20van%20Ruisdael%20-%20The%20Thicket%20%28Path%20in%20the%20Haarlem%20Dunes%29%20-%20WGA20475.jpg
Les Hébreux recueillant l'eau jaillie du rocher frappé par Moïse,http://www.wikidata.org/entity/Q18689325,Moses Striking the Rock,Louvre Palace,,Department of Paintings of the Louvre,Louis XIV of France,Jacopo Bassano,oil paint,,https://www.wga.hu/html/b/bassano/leandro/moses.html,public domain,,1587,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20da%20Ponte%20007.jpg
L'Entrée des animaux dans l'Arche,http://www.wikidata.org/entity/Q18573212,The Animals Entering Noah's Ark,Salle des États,,Department of Paintings of the Louvre,Louis XIV of France,Jacopo Bassano,oil paint,,,public domain,,1579,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20workshop%20-%20Animals%20boarding%20the%20Noah%27s%20Ark%20-%20Louvre.jpg
Deux chiens de chasse liés à une souche,http://www.wikidata.org/entity/Q18573209,Two Hounds,Salle des États,,Department of Paintings of the Louvre,,Jacopo Bassano,oil paint,,http://www.louvre.fr/oeuvre-notices/deux-chiens-de-chasse-lies-une-souche,public domain,,1548,http://commons.wikimedia.org/wiki/Special:FilePath/Bassano-Chiens-Louvre.jpg
Nature morte au gibier.,http://www.wikidata.org/entity/Q29842390,Nature morte au gibier.,Louvre storage (depot),,Department of Paintings of the Louvre,,Jacques Charles Oudry,oil paint,,,public domain,,1762,
Madame Mercier entourée de sa famille.,http://www.wikidata.org/entity/Q29857254,Madame Mercier entourée de sa famille.,Palace of Versailles,,Department of Paintings of the Louvre,,Jacques Dumont le Romain,oil paint,,,public domain,,1731,http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20mercier%201731%20j%20Dumont%201504595.jpg
Myrtil et Amaryllis s’unissent devant le temple de Diane,http://www.wikidata.org/entity/Q29645303,Couple before the Altar of a Temple Dedicated to Diana (Orestes and Iphigenia in Taurus?),Room 859,,Department of Paintings of the Louvre,,Jacques Ignatius de Roore,oil paint,,,public domain,,1720,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Ignatius%20de%20Roore%20-%20Couple%20before%20the%20Altar%20of%20a%20Temple%20Dedicated%20to%20Diana%20%28Orestes%20and%20Iphigenia%20in%20Taurus%3F%29.jpg
"Paysage et animaux, dit aussi La vache au chien.",http://www.wikidata.org/entity/Q29863439,"Paysage et animaux, dit aussi La vache au chien.",Louvre storage (depot),,Department of Paintings of the Louvre,,Jacques Raymond Brascassat,oil paint,,,public domain,,1845,
"Départ d'une troupe orientale, dit autrefois Les Corsaires repoussés ou encore L’Embarquement d’un général avec sa troupe et adieux des parents à ses soldats",http://www.wikidata.org/entity/Q29655526,Departure of an Oriental Entourage,Room 845,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Jan Baptist Weenix,oil paint,,https://www.wga.hu/html/w/weenix/jan_fath/oriental.html,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Baptist%20Weenix%20-%20Departure%20of%20an%20Oriental%20Entourage%20-%20WGA25521.jpg
Paradise landscape with animals; allegory of the element earth,http://www.wikidata.org/entity/Q29656879,Earth or The Earthly Paradise,Room 802,,Department of Paintings of the Louvre,,Jan Brueghel the Elder,copper,,https://www.wga.hu/html/b/bruegel/jan_e/1/earthly1.html,public domain,,1621,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20%28I%29%20-%20Earth%20%28The%20Earthly%20Paradise%29%20-%20WGA3552.jpg
Chien auprès d'un étalage de gibier mort et d'un bas-relief sculpté,http://www.wikidata.org/entity/Q29656645,Dog with Dead Game and a Carved Bas-Relief,Room 802,,Department of Paintings of the Louvre,,Jan Fyt,oil paint,,,public domain,,1651,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Fyt%20-%20Dog%20with%20Dead%20Game%20and%20a%20Carved%20Bas-Relief.jpg
Nef d'une église,http://www.wikidata.org/entity/Q29648011,Nef d'une église,Louvre storage (depot),,Department of Paintings of the Louvre,,Jan Juriaensz. van Baden,oil paint,,,public domain,,1640,
Barber and roulette players,http://www.wikidata.org/entity/Q29656609,Barber and roulette players,Louvre storage (depot),,Department of Paintings of the Louvre,,Jan Miel,tin,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Miel%20-%20The%20Neapolitan%20barber.jpg
"God promises Abraham the birth of  a son; Sarah, overhearing it, laughs incredulously (Genesis 18:9-10)",http://www.wikidata.org/entity/Q19318902,"Abraham, Sarah and the Angel",Room 817,,Department of Paintings of the Louvre,,Jan Provoost,oil paint,,https://www.wga.hu/html/p/provost/abraham.html,public domain,,1520,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Provoost%20-%20Abraham%2C%20Sarah%2C%20and%20the%20Angel%20-%20WGA18441.jpg
Joyeux repas de famille,http://www.wikidata.org/entity/Q29469377,Festive Family Meal,Louvre-Lens,,Department of Paintings of the Louvre,Louis La Caze,Jan Steen,oil paint,,https://archive.org/stream/catalogueraisonn01hofsuoft#page/144/mode/1up,public domain,,1674,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20-%20%27Festive%20Family%20Meal%27%2C%20c.%201674%2C%20oil%20on%20canvas%2C%20Louvre.jpg
Fête dans une auberge,http://www.wikidata.org/entity/Q11092220,Revelry at an Inn,Room 852,Dutch Golden Age painting,Department of Paintings of the Louvre,,Jan Steen,oil paint,,https://www.wga.hu/html/s/steen/page2/w_revel.html,public domain,,1674,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20-%20Revelry%20at%20an%20Inn%20-%20WGA21761.jpg
Sleeping Diana,http://www.wikidata.org/entity/Q29654994,Sleeping Diana,Louvre storage (depot),,Department of Paintings of the Louvre,Louis La Caze,Jan Thomas van Ieperen,oil paint,,,public domain,,1675,
Le Mariage de la Vierge,http://www.wikidata.org/entity/Q29648466,Le Mariage de la Vierge,Louvre storage (depot),,Department of Paintings of the Louvre,,Jan van Coninxloo,oil paint,,,public domain,,1550,
"Junon, reine des cieux, descendue de son char, confie Io (sous l'apparence d'une vache) au berger Argus",http://www.wikidata.org/entity/Q29656025,Juno confiding Io to Argus,Louvre storage (depot),,Department of Paintings of the Louvre,,Jan van Noordt,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Noordt%20-%20Junon%20confiant%20Io%20%C3%A0%20Argus.jpg
Femme nourissant un enfant,http://www.wikidata.org/entity/Q29655596,Femme nourissant un enfant,Louvre storage (depot),,Department of Paintings of the Louvre,,Jan Verkolje,oil paint,,,public domain,,1675,
Southern landscape with a man and a maid talking at the entrance of an inn,http://www.wikidata.org/entity/Q29656127,Southern landscape with a man and a maid talking at the entrance of an inn,Louvre storage (depot),,Department of Paintings of the Louvre,Louis XIV of France,Jan Vermeer van Utrecht,oil paint,,,public domain,,1653,
Nature morte au paon et au chien,http://www.wikidata.org/entity/Q29655535,Still-Life with a Peacock and a Dog,Room 845,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Jan Weenix,oil paint,,https://www.wga.hu/html/w/weenix/jan_son/stilpeac.html,public domain,,1696,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Weenix%20-%20Still%20Life%20with%20a%20Peacock%20and%20a%20Dog%20-%20WGA25517.jpg
Port de mer méridional avec vendeur de colifichets,http://www.wikidata.org/entity/Q27576620,Southern Seaport with Trinket Seller,Room 845,,Department of Paintings of the Louvre,,Jan Weenix,oil paint,,http://www.louvre.fr/en/oeuvre-notices/southern-seaport-trinket-seller,public domain,,1704,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Mus%C3%A9e%20du%20Louvre%20-%20Jan%20Weenix%20-%20Port%20de%20mer%20m%C3%A9ridional%20avec%20vendeur%20de%20colifichets%20-%201704%20-%20INV%201938%20-%20001.jpg
Halte de paysans allant au marché,http://www.wikidata.org/entity/Q29656155,Halte de paysans allant au marché,Room 851,,Department of Paintings of the Louvre,,Jan Wijnants,oil paint,,,public domain,,1662,
L'esclave heureuse (L'oiseau captif tenu par sa maîtresse).,http://www.wikidata.org/entity/Q29855377,L'esclave heureuse (L'oiseau captif tenu par sa maîtresse).,Louvre storage (depot),,Department of Paintings of the Louvre,,Jean Baptiste Hilaire,oil paint,,,public domain,,1800,
'Le Repas de Chasse' aussi dit 'Le déjeuner de Chasse',http://www.wikidata.org/entity/Q27148992,Hunt Breakfast,Room 919,,Department of Paintings of the Louvre,,Jean Fran�oisde Troy,oil paint,,http://www.louvre.fr/en/oeuvre-notices/hunt-breakfast,public domain,,1737,http://commons.wikimedia.org/wiki/Special:FilePath/Troy%20-%20Un%20d%C3%A9jeuner%20de%20chasse%20%281737%29.jpg
,http://www.wikidata.org/entity/Q29839114,,Null,,Department of Paintings of the Louvre,,Jean Fran�oisde Troy,oil paint,,,public domain,,1746,
Madame Lejean et ses filles,http://www.wikidata.org/entity/Q29848658,Madame Lejean et ses filles,Louvre storage (depot),,Department of Paintings of the Louvre,,Jean-Antoine Laurent,oil paint,,,public domain,,1812,http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20Lejean%20%28fille%20du%20peintre%20Joseph%20Boze%29%20et%20ses%20filles.jpg
Le Jugement de Pâris,http://www.wikidata.org/entity/Q19307536,The Judgment of Paris,Room 918,,Department of Paintings of the Louvre,Louis La Caze,Jean-Antoine Watteau,wood,,https://www.wga.hu/html/w/watteau/antoine/2/16paris.html,public domain,,1718,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Antoine%20Watteau%20-%20Le%20jugement%20de%20P%C3%A2ris.jpg
Ossian unit Oina Morul et Thormod-Dit autrefois le retour,http://www.wikidata.org/entity/Q29855834,Ossian unit Oina Morul et Thormod-Dit autrefois le retour,Louvre storage (depot),,Department of Paintings of the Louvre,,Jean-Augustin Franquelin,oil paint,,,public domain,,1825,
Rosny. Vue du village au printemps.,http://www.wikidata.org/entity/Q29862728,Rosny. View of the village in the spring,Room 948,,Department of Paintings of the Louvre,,Jean-Baptiste Camille Corot,oil paint,,,public domain,,1839,http://commons.wikimedia.org/wiki/Special:FilePath/Corot%20-%20Rosny.%20Vue%20du%20village%20au%20printemps%2C%201839.jpg
Le Fils puni. La Malédiction paternelle,http://www.wikidata.org/entity/Q29855533,The Punished Son,Room 932,,Department of Paintings of the Louvre,Louis-Gabriel de Véri-Raionard,Jean-Baptiste Greuze,oil paint,,https://collections.louvre.fr/en/ark:/53355/cl010066513,public domain,,1778,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Greuze%20-%20The%20Punished%20Son.jpg
"La Curée du cerf dans la forêt de Saint-Germain, dit La grande curée",http://www.wikidata.org/entity/Q29842387,"La Curée du cerf dans la forêt de Saint-Germain, dit La grande curée",Louvre storage (depot),,Department of Paintings of the Louvre,,Jean-Baptiste Oudry,oil paint,,,public domain,,1744,
Butor et perdrix gardés par un chien blanc,http://www.wikidata.org/entity/Q27008437,Butor et perdrix gardés par un chien blanc,Room 927,,Department of Paintings of the Louvre,,Jean-Baptiste Oudry,oil paint,,http://www.louvre.fr/oeuvre-notices/butor-et-perdrix-gardes-par-un-chien-blanc,public domain,,1747,http://commons.wikimedia.org/wiki/Special:FilePath/Butor%20et%20perdrix%20gard%C3%A9s%20par%20un%20chien%20blanc%20-%20Jean-Baptiste%20Oudry%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%207028%20%3B%20MR%202240.jpg
Gibier mort,http://www.wikidata.org/entity/Q29842336,Gibier mort,Louvre storage (depot),,Department of Paintings of the Louvre,Louis La Caze,Jean-Baptiste Pater,oil paint,,,public domain,,1725,
"L'origine de la peinture, ou Dibutade dessinant le portrait de son amant",http://www.wikidata.org/entity/Q17315738,The Origin of Painting,Salon des Nobles du Château de Versailles,neoclassicism,Department of Paintings of the Louvre,France,Jean-Baptiste Regnault,oil paint,,http://collections.chateauversailles.fr/#892c1ef1-1818-4bd5-bdd8-3e0e8c7e2a7c,public domain,,1785,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Versailles%2C%20salon%20des%20nobles%2C%20Dibutade%20ou%20l%27Origine%20de%20la%20peinture%2C%20Jean-Baptiste%20Regnault.jpg
Le Buffet.,http://www.wikidata.org/entity/Q3220656,Le Buffet,Room 919,Rococo,Department of Paintings of the Louvre,,Jean-Baptiste-Siméon Chardin,oil paint,,http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=11533,public domain,,1728,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Buffet%20-%20Jean%20Baptiste%20Sim%C3%A9on%20Chardin%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%203198.jpg
La Mère laborieuse.,http://www.wikidata.org/entity/Q29863254,The Hard-working Mother,Room 921,,Department of Paintings of the Louvre,,Jean-Baptiste-Siméon Chardin,oil paint,,http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=10250,public domain,,1740,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Sim%C3%A9on%20Chardin%20-%20The%20Hard-working%20Mother%20-%20WGA04767.jpg
